Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1992,2,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,2,0,0,6,0,0,0,1,15,9,0,0,0,0,,
1992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1992,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,36,22,0,0,0,0,38,4,13,0,0
1992,6,0,0,0,0,1,0,0,0,6,9,26,5,27,5,0,9,20,8,1,0,3,47,97,125,88,105,138,38,9,0,
1992,7,0,92,46,135,18,76,3,2,10,111,18,24,1,8,0,0,0,19,52,63,24,7,10,22,0,0,27,18,21,8,9
1992,8,8,0,0,0,0,23,68,15,21,5,1,0,22,1,3,5,0,6,45,112,52,4,0,0,10,3,37,10,0,0,0
1992,9,0,18,22,0,6,0,0,4,1,3,23,72,70,2,0,0,12,0,10,55,2,0,1,2,2,3,16,0,0,4,
1992,10,0,0,0,0,4,0,0,4,1,0,0,0,9,69,47,12,1,0,0,13,29,47,1,0,0,0,0,0,0,0,0
1992,11,0,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,6,0,
1992,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,9,0,0,0,0,0,0,,,
1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,30,7,3,7,0,31,0,0,0
1993,4,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,33,
1993,5,0,32,52,5,0,1,33,34,15,32,0,50,6,5,0,0,8,0,1,0,0,0,0,0,0,1,3,0,15,119,96
1993,6,31,38,32,0,0,4,46,1,0,3,13,9,16,0,1,12,33,130,63,118,91,103,1,3,26,14,0,0,29,18,
1993,7,72,31,0,12,5,11,3,1,62,62,12,0,1,0,30,34,28,28,2,28,1,91,129,19,13,0,0,0,0,2,0
1993,8,7,9,17,92,38,36,25,9,33,15,13,68,22,1,0,10,12,10,21,66,120,40,55,10,0,0,0,0,0,2,5
1993,9,22,11,23,0,2,5,1,3,1,0,1,69,6,30,0,0,0,0,1,0,11,1,0,0,1,0,3,3,53,1,
1993,10,61,1,55,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,1,3,0,0,0,0,9
1993,11,13,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1993,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,,
1994,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,121,30,3,61
1994,4,0,5,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,53,0,79,2,14,0,0,0,0,0,0,
1994,5,19,0,98,102,0,0,0,0,14,18,1,0,0,0,0,0,0,1,0,0,18,7,16,13,2,0,0,0,0,0,0
1994,6,0,1,1,4,0,0,0,43,59,2,92,38,118,30,58,48,112,160,118,37,29,15,0,5,1,0,15,26,9,1,
1994,7,0,3,19,1,5,3,5,21,12,1,12,7,31,29,1,0,0,22,94,80,26,41,1,46,2,5,0,3,77,157,64
1994,8,6,16,15,46,7,14,18,17,2,14,53,16,2,1,96,9,1,0,11,1,1,8,26,8,89,34,3,0,4,2,0
1994,9,1,7,2,0,11,0,3,6,66,21,42,20,0,0,0,2,8,5,56,9,5,0,0,0,0,0,0,0,0,1,
1994,10,0,15,0,0,0,3,25,8,17,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1994,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,
1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,,,
1995,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
1995,4,0,0,0,0,0,0,0,20,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1995,5,0,0,0,0,0,0,0,0,0,0,0,19,1,1,31,36,206,27,0,0,0,80,0,0,0,0,0,0,0,0,0
1995,6,0,39,2,63,0,0,0,6,0,1,40,37,40,15,4,0,4,41,6,5,99,30,16,24,59,6,5,8,13,2,
1995,7,28,68,85,62,19,0,3,0,0,1,5,14,8,11,40,84,109,8,0,3,23,98,6,42,4,2,10,13,14,3,214
1995,8,9,22,67,24,0,2,2,20,21,1,0,34,10,73,10,1,1,39,10,38,102,2,0,2,68,0,0,0,1,0,0
1995,9,5,70,50,60,27,43,0,0,0,80,9,0,0,0,7,0,7,3,0,0,0,0,49,0,0,20,10,0,23,0,
1995,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,10,9,0,6,0,0,0,0,0,0,0,0,0
1995,11,9,7,23,2,0,1,0,0,0,10,138,74,0,0,0,0,0,0,25,59,2,0,0,1,32,26,0,0,0,0,
1995,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,48,0,0,2,0,0,,
1996,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1996,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,2,0,0,0,16,
1996,5,1,14,0,0,0,0,1,10,20,0,0,19,4,0,36,21,0,0,3,0,0,0,0,0,0,52,2,24,1,67,4
1996,6,0,0,40,1,0,0,2,0,0,0,3,0,0,0,6,0,0,10,33,106,105,142,24,10,20,35,0,23,74,37,
1996,7,79,2,36,86,0,18,30,0,0,0,0,0,0,0,0,2,0,4,27,0,12,32,110,146,51,120,62,50,64,4,11
1996,8,10,17,57,77,50,59,44,52,53,0,1,0,2,1,3,23,22,43,64,31,36,10,3,1,19,3,4,2,1,14,0
1996,9,0,3,11,22,1,1,5,19,0,2,5,28,0,0,2,69,77,137,44,9,28,30,8,5,9,6,7,0,0,0,
1996,10,0,0,0,65,2,98,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,44,33,70,61
